"","Input","Description","MaxOut","MinOut","NominalOut","Index","Input_Category"
"1",1,"Reduction_wash","0.015493507426956","0.0155278179076348","0.0151969006267676",-0.00225772883046365,"Reduction"
"2",2,"Growth_Time","0.0178548895974676","0.0145643527992558","0.0160927718199181",0.204472966809801,"Amplification"
"3",3,"Ill Exclusion","0.0161725310206788","0.0159579159329397","0.0150774960264102",0.014234133264778,"Reduction"
"4",4,"Hand Sanitizer","0.000425273780775526","0.0141661743801174","0.00490835430753034",-2.79949240385128,"Reduction"
"5",5,"Probability of Sharing","0.0115363185700441","0.0111640524009583","0.0117976690885812",0.0315542134883287,"Behavioral"
"6",6,"Probability of Eat ST","0.0112737061581009","0.0115075860186711","0.0114624793898583",-0.0204039503684563,"Behavioral"
"7",7,"Probability of Pick ST","0.0112078421497422","0.0113993602656119","0.0111413877758371",-0.0171897899725804,"Behavioral"
"8",8,"Probability of Pick Selection","0.0097812352640296","0.0139577759247844","0.0118702397164239",0.351849731810901,"Behavioral"
"9",9,"Probability of Eat Selection","0.0104465526178935","0.0129853932317693","0.0117643514436365",0.215807953888446,"Behavioral"
"10",1,"mass_feces_hands","0.0439707583663291","0.000327448126694919","0.0121412958979311",3.59461713202057,"Contamination"
"11",2,"HU_NV_in_Feces","0.0414304136982438","0.000811963087260084","0.0128415422934516",3.16305079894467,"Contamination"
"12",3,"LogRedWash","0.0125899221145202","0.0190277173196176","0.0156532309940264",-0.411275806736269,"Reduction"
"13",4,"N_Touched","0.0194576294794499","0.0164541594150549","0.0112508649656728",0.266954591807726,"Behavioral"
"14",5,"Prevalence_Illness","0.0201577742856943","0.0137912704333806","0.016348421599569",0.389426209346195,"Contamination"
"15",6,"TrP_H_F","0.0396047083067148","0.0026807290678475","0.0141215146839815",2.61473220579882,"Contamination"
"16",7,"TrP_F_H","0.00651551647293993","0.0185982245239333","0.0175409583846934",-0.688828271865522,"Contamination"
"17",8,"TrP_H_S","0.0247151475021528","0.00139220115722006","0.00755873636302962",3.08556155748561,"Contamination"
"18",9,"TrP_S_H","0.00435941293035684","0.0176244420255179","0.0100718882948337",-1.31703496969532,"Contamination"
"19",10,"PrWashingHands","0.0137099572911977","0.0151872123319955","0.0167939039558164",-0.0879637661787497,"Behavioral"
"20",11,"HanwashingStationEfficacy","0.00525563805634858","0.00844049338711308","0.00622490574668511",-0.511631092962412,"Reduction"
